title,brand,variant_size,dmart_price_inr,mrp_inr,discount_off_inr,unit_price,in_stock,image_url,product_url
Colgate MaxFresh Spicy Fresh Toothpaste : 300 g,Colgate,300 g,174.0,280.0,106.0,(₹ 0.58 / 1 g),True,https://cdn.dmart.in/images/products/OCT140000682xx25OCT25vvF300g_4_P.jpg,https://www.dmart.in/product/colgate-maxfresh-spicy-fresh-toothpaste?selectedProd=IwJg7ALMA+AOCmAnAzgewHYEMA2BaAxpovLgEbyYCuALgJ4D0qiOBRJm8y+uTOhx9aqlTUAFrEzJq7TtyEjxk6VxBA
Colgate Dental Cream Strong Teeth Toothpaste : 500 g,Colgate,500 g,234.0,325.0,91.0,(₹ 0.47 / 1 g),True,https://cdn.dmart.in/images/products/MAR140000803xx18MAR26vvF200g_5_P.jpg,https://www.dmart.in/product/colgate-strong-teeth-calci-lock-toothpaste?selectedProd=GwDgrADATAPgDgUwE4GcD2A7AhgGwLQDGWSCeARglgK4AuAngPRpK6HGlYIoF7O5EkGNNGhoALOFhQ0OXHsNESpM7lCA
Colgate Total Advanced Health Toothpaste : 280 g,Colgate,280 g,197.0,390.0,193.0,(₹ 0.70 / 1 g),True,https://cdn.dmart.in/images/products/FEB140003553xx25FEB26_5_P.jpg,https://www.dmart.in/product/colgate-total-advance-health-tp-240gm-ptoothpast0colg21xx190621?selectedProd=BwdhAYEZwHwBwKYCcDOB7AdgQwDYFoBjLJBPAIwSwFcAXATwHo0ldDjSsEUC9nciSDGmjQ0AFnCwoaHLj2GiJUmdwBMQA
Sensodyne Repair & Protect Toothpaste : 100 g,Sensodyne,100 g,232.0,255.0,23.0,(₹ 2.32 / 1 g),True,https://cdn.dmart.in/images/products/JUL140001200xx3JUL25vvG100g_5_P.jpg,https://www.dmart.in/product/sensodyne-repair-and-protect-toothpaste?selectedProd=CwZg7ADAjAHAPgBwKYCcDOB7AdgQwDYC0AxjikgQEZI4CuALgJ4D0GK+xp5OSaRBr+EmSZ0MGOgAsEONHS48+o8VJlzeAJiA
Patanjali Dant Kanti Tooth Paste : 500 g,Patanjali,500 g,204.0,239.0,35.0,(₹ 0.41 / 1 g),True,https://cdn.dmart.in/images/products/JAN140001514xx9JAN24_5_P.jpg,https://www.dmart.in/product/patanjali-dant-kanti-dental-cream?selectedProd=GzAsAZwdgHwBwKYCcDOB7AdgQwDYFoBjLJBPAIwSwFcAXATwHo0ldDjSsEUC9nciSDGmjQ0AFnCwoaHLj2GiJUmdwBMQA
Colgate Max Fresh Peppermint Ice Toothpaste : 300 g,Colgate,300 g,187.0,299.0,112.0,(₹ 0.62 / 1 g),True,https://cdn.dmart.in/images/products/MAR140001554xx15MAR26vvF_5_P.jpg,https://www.dmart.in/product/colgate-maxfresh-peppermint-ice-toothpaste?selectedProd=GwdgzArAjAnAPgBwKYCcDOB7AdgQwDYC0AxjikgQEZI4CuALgJ4D0GK+xp5OSaRBr+EmSZ0MGOgAsEONHS48+o8VJlzeAJiA
Closeup Everfresh+ Anti-Germ Gel Red Hot Toothpaste : 2x150 g,Closeup,150 g x 2 U,168.0,235.0,67.0,,True,https://cdn.dmart.in/images/products/FEB140000667xx2FEB26vvG150g_4_P.jpg,https://www.dmart.in/product/closeup-deep-action-red-hot-gel-toothpaste?selectedProd=IwJg7OA+AOCmBOBnA9gOwIYBsC0Bjd8s2ARrOgK4AuAngPTLxZ4FHqyK7YNb6G2XJklABbR0iSq3acBQ0eMkcQQA
Dabur Red Toothpaste : 2x200 g,Dabur,200 g x 2 U,217.0,264.0,47.0,,True,https://cdn.dmart.in/images/products/MAY140000825XX29MAY26_5_P.jpg,https://www.dmart.in/product/dabur-red-toothpaste?selectedProd=JwFgDAjMA+AOCmAnAzgewHYEMA2BaAxpovLgEbyYCuALgJ4D0qiOBRJm8y+uTOhx9aqlTUAFrEzJq7TtyEjxk6VwBMQA
Sensodyne Rapid Relief Toothpaste : 80 g,Sensodyne,80 g,182.0,200.0,18.0,(₹ 2.27 / 1 g),True,https://cdn.dmart.in/images/products/JUL140000700xx3JUL25vvG80g_5_P.jpg,https://www.dmart.in/product/sensodyne--rapid--relief--toothpaste?selectedProd=IwJg7ArAnAPgDgUwE4GcD2A7AhgGwLQDGWSCeARglgK4AuAngPRpK6HGlYIoF7O5EkGNNGhoALOFhQ0OXHsNESpM7iCA
Dabur Red Ayurvedic Toothpaste : 3x150 g,Dabur,150 g x 3 U,251.0,369.0,118.0,,True,https://cdn.dmart.in/images/products/Nov140001513xx20Nov25vvG_4_P.jpg,https://www.dmart.in/product/dabur-red-ayurvedic-toothpaste-ptoothpast0dabu19xx100220?selectedProd=GzAsAZ2AfAHBTATgZwPYDsCGAbAtAY00XlwCN5MBXAFwE8B6VRHAokzeZfXJnQ4+tVSpqAC1iZk1dp25CR4ydK4AmIA
